collection,budget,genre,language,title,production_companies,release_date,revenue,runtime,rating
,5000000,Drama,en,This Is Elvis,#VALUE!,04-04-81,2028612,144.0,C
,0,Crime,en,True Confessions,Chartoff-Winkler Productions,25-09-81,0,108.0,C
,0,Drama,en,Revolution #9,#VALUE!,15-11-02,0,90.0,D
,0,,en,Better Housekeeping,#VALUE!,11-11-00,0,90.0,E
James Bond Collection,140000000,Adventure,en,Die Another Day,Eon Productions,17-11-02,431971116,133.0,C
,0,Drama,en,The Emperor's Club,Universal Pictures,22-11-02,0,108.0,C
Friday Collection,20000000,Comedy,en,Friday After Next,New Line Cinema,22-11-02,33526835,85.0,C
,0,Drama,en,Personal Velocity,IFC Productions,01-01-02,0,86.0,D
,30000000,Drama,en,The Quiet American,Miramax Films,22-11-02,27674124,101.0,C
,0,Drama,es,Vagón Fumador,Instituto Nacional de Cine y Artes Audiovisuales (INCAA),12-06-02,0,91.0,D
,9285469,Drama,es,Hable con ella,Vía Digital,14-03-02,51001550,112.0,B
,0,Comedy,en,Eight Crazy Nights,Columbia Pictures,27-11-02,23833131,76.0,C
,40000000,Action,en,Extreme Ops,Paramount Pictures,27-11-02,10959475,93.0,D
,47000000,Drama,en,Solaris,Twentieth Century Fox Film Corporation,27-11-02,30002758,99.0,C
,140000000,Adventure,en,Treasure Planet,Walt Disney Pictures,26-11-02,109578115,95.0,B
,17000000,Horror,en,They,Dimension Films,01-11-02,0,89.0,D
,0,Comedy,en,Chopper Chicks in Zombietown,Troma Entertainment,05-04-89,0,86.0,D
,0,Thriller,de,Was tun, wenn's brennt?,Claussen + Wöbke Filmproduktion GmbH,01-11-01,0,101.0,C
,0,Drama,nl,Ik ook van jou,#VALUE!,15-02-01,0,99.0,D
,17000000,Comedy,en,Another You,TriStar Pictures,26-07-91,0,94.0,D
Brother Collection,0,Action,ru,Брат,CTB Film Company,01-01-97,0,96.0,C
,0,Drama,ru,Жестокий романс,Mosfilm,06-06-84,0,142.0,C
Elling Collection,0,Comedy,en,Elling,Maipo Film- og TV Produksjon,16-03-01,0,89.0,C
I Spit on Your Grave (Original) Collection,650000,Horror,en,Day of the Woman,Cinemagic Pictures,02-11-78,0,101.0,C
,0,Adventure,en,The Island at the Top of the World,Walt Disney Productions,01-01-74,0,93.0,C
,2500000,Thriller,en,The Last Seduction,October Films,26-05-94,0,110.0,C
,0,Thriller,en,The Last Seduction II,#VALUE!,08-06-99,0,96.0,C
,0,Science Fiction,en,Joey,Balcor Film Investors,21-11-85,0,94.0,C
,0,Comedy,en,New Waterford Girl,#VALUE!,01-01-99,0,97.0,B
,600000,Science Fiction,de,Das Arche Noah Prinzip,Centropolis Film Productions,24-02-84,0,100.0,D
,4000000,Action,en,The Sword and the Sorcerer,Sorcerer Productions,01-04-82,39103425,100.0,C
Anglo-Zulu War Collection,3500000,Action,en,Zulu,Diamond Films,22-01-64,8000000,138.0,B
Analyze Collection,60000000,Comedy,en,Analyze That,Village Roadshow Pictures,06-12-02,55003135,96.0,C
,4000000,Action,en,Empire,Universal Studios,06-12-02,18591272,90.0,C
,19000000,Comedy,en,Adaptation.,Beverly Detroit,06-12-02,32801173,114.0,B
,20000000,Action,en,Equilibrium,Dimension Films,06-12-02,5359645,107.0,C
,0,Drama,en,Da wu sheng,#VALUE!,08-09-11,0,95.0,D
,0,,en,Soap Girl,#VALUE!,01-09-02,0,0.0,E
,0,Drama,fr,Ça commence aujourd'hui,Les Films Alain Sarde,12-03-99,0,117.0,B
,0,Drama,it,Medea,Les Films Number One,27-12-69,0,118.0,C
,0,Drama,it,Scarlet Diva,Opera Film Produzione,26-05-00,0,91.0,D
,0,Comedy,ja,ビジターQ,CineRocket,17-03-01,0,84.0,C
,0,Drama,fr,Les uns et les autres,Les Films 13,27-05-81,0,184.0,B
,0,Documentary,en,Urgh! A Music War,#VALUE!,01-01-81,0,122.0,B
Vabank (Collection),0,Crime,pl,Vabank,"Zespól Filmowy ""Kadr""",01-01-81,0,104.0,B
Jönsson Gang,0,Comedy,sv,Varning för Jönssonligan,Nordisk Film,04-12-81,0,89.0,C
,0,Documentary,en,Vernon, Florida,#VALUE!,08-10-81,0,55.0,C
,10000000,Action,en,Escape to Victory,Paramount,17-06-81,27453418,116.0,C
,0,Drama,en,Whose Life Is It Anyway?,SLM Production Group,02-12-81,0,119.0,C
,0,Drama,en,Zoot Suit,Universal Pictures,02-10-81,0,103.0,C
,20000000,Horror,en,Alone in the Dark,New Line Cinema,12-11-82,8178569,93.0,C
,0,Science Fiction,en,Android,New World Pictures,15-10-82,0,80.0,C
,0,Adventure,fr,L'as des as,#VALUE!,,,,E
,0,War,en,Attack Force Z,The Australian Film Commission,10-06-82,88000,93.0,D
,0,Comedy,it,Attila flagello di Dio,Intercapital,01-01-82,0,97.0,C
,0,Comedy,en,Author! Author!,Twentieth Century Fox Film Corporation,18-06-82,0,110.0,C
,0,Action,en,Barbarosa,#VALUE!,01-01-82,1736123,90.0,C
,0,Horror,en,The Beast Within,Katzka,01-01-82,0,98.0,C
,0,Comedy,en,Best Friends,#VALUE!,,,,E
,35000000,Comedy,en,The Best Little Whorehouse in Texas,Universal Pictures,23-07-82,69701637,114.0,C
,22000000,Drama,en,The Border,Universal Pictures,29-01-82,0,108.0,C
The Party Collection,0,Comedy,fr,La Boum 2,Gaumont,08-12-82,0,109.0,C
,0,Mystery,en,Brimstone & Treacle,#VALUE!,01-10-82,0,87.0,C
,0,Horror,en,Britannia Hospital,EMI Films Ltd.,27-05-82,0,116.0,B
,0,Documentary,en,Burden of Dreams,Flower Films,30-05-82,0,95.0,B
,0,Drama,en,Cannery Row,Metro-Goldwyn-Mayer (MGM),12-02-82,0,120.0,C
,0,Action,en,The Challenge,CBS Theatrical Films,23-07-82,0,113.0,C
Class of 1999 Collection,4300000,Action,en,Class of 1984,Guerilla High Productions,20-08-82,0,98.0,C
,850000,Comedy,en,Come Back to the 5 & Dime, Jimmy Dean, Jimmy Dean,Sandcastle 5 Productions,12-11-82,840000,109.0,D
,0,Drama,fr,Danton,P.P. Film Polski,12-01-83,0,136.0,C
,0,Comedy,en,Deathtrap,Warner Bros.,19-03-82,0,116.0,C
Turkish Star Wars,0,Science Fiction,tr,Dünyayı Kurtaran Adam,Anit Film,04-11-82,0,91.0,C
,350000,Comedy,en,Eating Raoul,#VALUE!,24-03-82,0,87.0,C
,20000000,Drama,en,Drumline,Fox 2000 Pictures,13-12-02,57588485,118.0,C
,0,Comedy,en,The Hot Chick,Happy Madison Productions,13-12-02,35081550,104.0,C
,55000000,Comedy,en,Maid in Manhattan,Red Om Films,13-12-02,154906693,105.0,C
Star Trek: The Next Generation Collection,60000000,Science Fiction,en,Star Trek: Nemesis,Paramount Pictures,13-12-02,67312826,117.0,C
,30000000,Drama,en,About Schmidt,New Line Cinema,13-12-02,105834556,125.0,C
,0,Drama,es,El Bola,Tesela P.C.,20-10-00,0,83.0,B
,0,Drama,en,Evelyn,CineEvelyn,13-12-02,0,92.0,C
,0,Drama,de,The Guys,Open City Films,11-09-02,0,84.0,D
,0,Action,es,Intacto,Telecinco,06-11-01,0,108.0,C
,0,Comedy,en,The Jimmy Show,Next Wednesday Productions,16-01-02,0,96.0,B
,0,Drama,en,Morvern Callar,Company Pictures,01-01-02,0,97.0,B
The Lord of the Rings Collection,79000000,Adventure,en,The Lord of the Rings: The Two Towers,WingNut Films,18-12-02,926287400,179.0,B
,0,Drama,zh,鬼子来了,China Film Co-Production Corporation,12-05-00,0,139.0,B
,15000000,Crime,en,25th Hour,40 Acres & A Mule Filmworks,16-12-02,13060843,135.0,B
,12500000,Drama,en,Antwone Fisher,Fox Searchlight Pictures,19-12-02,23367586,120.0,C
,100000000,Drama,en,Gangs of New York,Miramax Films,14-12-02,193772504,167.0,B
,60000000,Comedy,en,Two Weeks Notice,Village Roadshow Pictures,19-12-02,93354918,101.0,C
,35000000,Animation,en,The Wild Thornberrys Movie,Paramount Pictures,20-12-02,0,85.0,C
,6500000,Action,en,Narc,Paramount Pictures,14-01-02,12633747,105.0,C
,0,Thriller,en,Bad Influence,Epic Productions,09-03-90,0,99.0,C
,0,Thriller,en,Blue Steel,Lightning Pictures,16-03-90,0,102.0,C
,30000000,Drama,en,Body of Evidence,Metro-Goldwyn-Mayer (MGM),15-01-93,13273595,101.0,D
,0,Drama,en,The Children's Hour,The Mirisch Corporation,01-01-61,0,107.0,B
,0,Action,en,Company Business,Metro-Goldwyn-Mayer (MGM),06-09-91,1501785,98.0,C
,900000,Drama,en,The Duellists,Enigma Productions,31-08-77,0,100.0,B
,0,Drama,en,A Kiss Before Dying,Crown International Pictures,12-06-56,0,94.0,B
,1750000,Adventure,en,Legend of the Lost,United Artists,17-12-57,2200000,109.0,C
,0,Action,en,Miami Blues,Orion Pictures,20-04-90,0,97.0,C
My Girl Collection,0,Comedy,en,My Girl 2,Columbia Pictures,11-02-94,0,99.0,C
My Girl Collection,16500000,Comedy,en,My Girl,Columbia Pictures,27-11-91,0,102.0,C
,0,Fantasy,ja,となりのトトロ,Studio Ghibli,16-04-88,0,86.0,B
Road to Collection,0,Comedy,en,The Road to Hong Kong,United Artists,01-01-62,0,91.0,C
,130000,Crime,en,Running Time,Blood Money Partners LP,18-12-97,1596,70.0,C
,0,Action,en,The Thief of Bagdad,London Film Productions,25-12-40,0,106.0,B
,6000000,Drama,en,War and Peace,Paramount Pictures,21-08-56,12500000,208.0,C
,0,Mystery,en,Where Sleeping Dogs Lie,#VALUE!,13-11-91,0,95.0,E
,0,Comedy,en,Where’s Poppa?,The Where,10-11-70,0,82.0,C
,0,Action,en,The Whistle Blower,Portreeve,21-11-86,0,100.0,C
,70000,Horror,en,Attack of the Crab Monsters,Allied Artists Pictures,10-02-57,0,62.0,D
,0,Horror,en,Black Christmas,Film Funding Ltd. of Canada,11-10-74,0,98.0,C
,750000,Horror,en,The Day of the Triffids,Allied Artists Pictures,01-07-62,0,94.0,C
,0,Drama,en,Esther Kahn,France 2 Cinéma,04-10-00,0,163.0,D
,0,Science Fiction,en,Invaders from Mars,Edward L. Alperson Productions,22-04-53,0,78.0,C
,0,Drama,fr,Histoire d'O,Terra-Filmkunst GmbH,28-08-75,0,97.0,C
,0,Drama,hi,अशोक,Dreamz Unlimited,13-09-01,19000000,155.0,C
,0,Drama,en,Fat City,Columbia Pictures Corporation,26-07-72,0,100.0,C
,0,Action,en,Love, Honour and Obey,#VALUE!,07-04-00,0,103.0,C
,0,Action,en,Quicksilver,Columbia Pictures,14-02-86,0,105.0,C
,52000000,Drama,en,Catch Me If You Can,Kemp Company,25-12-02,352114312,141.0,B
,40000000,Comedy,it,Pinocchio,Miramax Films,25-12-02,41323171,108.0,C
,45000000,Action,en,Chicago,Miramax Films,26-12-02,306776732,113.0,C
,25000000,Drama,en,The Hours,Paramount Pictures,27-12-02,41597830,114.0,C
,11000000,War,en,Max,Film Council,10-09-02,0,106.0,C
,0,Adventure,en,Nicholas Nickleby,United Artists Corporation,27-12-02,0,132.0,C
,35000000,Drama,en,The Pianist,Bac Films,24-09-02,120072577,150.0,A
,110,Crime,en,Sonny,#VALUE!,26-10-02,0,110.0,D
,0,Comedy,en,Champagne For Caesar,#VALUE!,,,,E
,0,Horror,en,Doppelganger,Planet Productions,01-03-93,0,104.0,D
Heavy Metal Collection,15000000,Action,en,Heavy Metal 2000,Helkon Media AG,19-04-00,0,88.0,C
,0,Horror,it,La casa sperduta nel parco,F.D. Cinematografica,06-11-80,0,91.0,C
,20000000,Comedy,en,The King of Comedy,Twentieth Century Fox Film Corporation,18-12-82,0,109.0,B
,0,Comedy,en,Love Liza,#VALUE!,30-12-02,0,90.0,C
,30000000,Comedy,en,Confessions of a Dangerous Mind,Miramax Films,30-12-02,33013805,113.0,C
,0,Drama,pt,Vale Abraão,Gemini Films,01-09-93,0,203.0,C
Blue Collar Comedy Tour Collection,0,Comedy,en,Blue Collar Comedy Tour: The Movie,Pandora Cinema,28-03-03,604856,105.0,C
,18000000,Comedy,en,Just Married,Twentieth Century Fox Film Corporation,09-01-03,101564935,95.0,C
,0,Comedy,en,P.S. Your Cat Is Dead!,mr. kirby productions,01-01-02,0,92.0,D
,0,Mystery,fr,Le fils,Les Films Du Fleuve,23-05-02,0,103.0,C
,0,Action,ja,Hyôryû-gai,#VALUE!,15-09-00,0,102.0,C
,0,Comedy,en,Double Whammy,Apostle,20-01-01,0,93.0,C
,0,Action,en,WiseGirls,#VALUE!,06-12-02,0,96.0,D
,20000000,Comedy,en,A Guy Thing,Metro-Goldwyn-Mayer (MGM),17-01-03,17432163,101.0,C
,0,Comedy,en,Kangaroo Jack,Castle Rock Entertainment,17-01-03,0,89.0,D
,0,Action,en,National Security,Columbia Pictures,17-01-03,50097949,88.0,C
,0,Comedy,zh,大腕,Columbia Pictures Corporation,21-12-01,0,100.0,C
,3300000,Drama,pt,Cidade de Deus,O2 Filmes,05-02-02,30641770,130.0,A
,0,Drama,en,Divine Intervention,#VALUE!,,0,87.0,E
,0,Drama,da,En kærlighedshistorie,Nimbus Film,26-10-01,0,93.0,D
,0,Drama,en,Above Suspicion,Rysher Entertainment,01-01-95,0,95.0,C
,0,Comedy,en,Alice Adams,RKO Radio Pictures,23-08-35,0,99.0,D
,0,Drama,de,Der amerikanische Freund,Road Movies Filmproduktion GmbH,26-06-77,0,127.0,C
,0,Crime,en,American Me,Universal Pictures,13-03-92,0,125.0,B
,120000,Crime,fr,Bande à part,Orsay Films,05-08-64,182857,97.0,B
,0,Comedy,en,Breaking Up,Regency Enterprises,17-10-97,11690,90.0,D
,0,Music,en,CB4,Universal Pictures,12-03-93,17953778,89.0,C
,0,Drama,de,Der Totmacher,Pantera Film,23-11-95,0,110.0,C
,0,War,en,Dogfight,Warner Bros.,13-09-91,0,94.0,C
,0,Comedy,en,Easy Come, Easy Go,Paramount Pictures,22-03-67,0,95.0,C
,0,Comedy,en,Fun in Acapulco,Paramount Pictures,01-01-63,0,97.0,C
,0,Comedy,en,Girls! Girls! Girls!,Paramount Pictures,21-11-62,0,106.0,C
,0,Drama,en,Imitation of Life,Universal International Pictures (UI),01-01-59,0,125.0,B
,0,Comedy,en,A Little Romance,Orion Pictures,27-04-79,0,108.0,B
,0,Comedy,en,Mystery Date,Orion Pictures,16-08-91,6166819,97.0,C
,0,Music,en,Paradise, Hawaiian Style,Paramount Pictures,15-06-66,0,91.0,D
,0,Action,fr,Pépé le Moko,Paris Film,28-01-37,153936,94.0,B
,0,Comedy,en,Secret Admirer,Orion Pictures,14-06-85,8622757,90.0,C
,0,Drama,en,Summer Lovers,Filmways Pictures,16-07-82,0,98.0,C
,0,Comedy,en,Tune in Tomorrow...,#VALUE!,01-01-90,0,107.0,D
,25300000,Comedy,en,The Woman in Red,Orion Pictures,15-08-84,0,87.0,C
,0,Thriller,en,Darkness Falls,Village Roadshow Pictures,24-01-03,0,86.0,D
,0,Drama,fr,Amen.,Renn Productions,13-02-02,0,132.0,B
,0,Documentary,de,Im toten Winkel - Hitlers Sekretärin,Alive Films,10-02-02,0,90.0,C
,0,Documentary,en,Im Spiegel der Maya Deren,#VALUE!,15-03-02,0,103.0,B
,0,Horror,en,Blind Date,Omega Entertainment,01-06-84,0,95.0,E
,0,Action,en,Bullet,Village Roadshow Pictures,01-03-96,0,100.0,C
,0,Drama,en,Claudine,#VALUE!,22-04-74,0,92.0,C
,0,Thriller,en,Dead Reckoning,Columbia Pictures,16-01-47,0,100.0,C
,0,Adventure,en,The Devil at 4 O'Clock,Columbia Pictures Corporation,18-10-61,0,126.0,C
,0,Drama,it,Ethan Frome,Miramax Films,12-03-93,0,99.0,C
,0,Comedy,en,Gus,#VALUE!,07-07-76,0,96.0,C
,0,Music,en,The Harder They Come,Xenon Pictures,01-09-72,0,103.0,C
,0,Drama,en,The Horse in the Gray Flannel Suit,Walt Disney Production,16-12-68,0,113.0,C
,3000000,Drama,en,Krush Groove,Warner Bros.,25-10-85,0,97.0,C
,0,Mystery,en,The Moon-Spinners,Walt Disney Productions,01-01-64,0,118.0,C
,0,Drama,en,Sugar Hill,Beacon Communications,25-02-94,0,123.0,C
,0,Drama,fr,Chaos,#VALUE!,03-10-01,0,109.0,C
,24000000,Action,en,Biker Boyz,DreamWorks Pictures,31-01-03,23510601,110.0,D
Final Destination Collection,26000000,Horror,en,Final Destination 2,New Line Cinema,31-01-03,90426405,90.0,C
,0,Action,en,The Recruit,Birnbaum / Barber Productions,31-01-03,101191884,115.0,C
,0,Comedy,en,The Guru,Universal Pictures,21-08-02,0,91.0,C
,0,War,he,Kedma,ARTE France Cinéma,05-05-02,0,100.0,D
,0,Documentary,en,Lost in La Mancha,Quixote Films,11-02-02,0,93.0,B
,500000,Drama,en,May,A Loopy Production LLC,13-01-02,150277,93.0,C
,0,Drama,en,The Harder They Fall,Columbia Pictures Corporation,09-05-56,0,109.0,C
,0,Comedy,en,I'm All Right Jack,Charter Film Productions,18-08-59,0,105.0,C
,0,Crime,en,Murder by Decree,Highlight,01-02-79,0,124.0,C
,0,Comedy,en,Ordinary Decent Criminal,#VALUE!,07-01-00,0,93.0,C
,0,Romance,en,Pursued,Warner Bros.,02-03-47,0,101.0,C
,0,Comedy,en,The Smallest Show on Earth,Hallmark Productions,09-04-57,0,80.0,B
Tokyo Decadence series,0,Drama,ja,トパーズ,Cinemabrain,06-01-92,0,135.0,C
,0,Action,en,Two Way Stretch,Vale Film Productions,20-12-60,0,84.0,C
,0,Drama,fr,La femme infidèle,Cinegai S.p.A.,01-01-69,0,98.0,B
,0,Drama,en,Victim,#VALUE!,01-08-61,0,90.0,C
,0,Horror,en,Endangered Species,Metro-Goldwyn-Mayer (MGM),10-09-82,0,97.0,C
,0,Drama,sv,Den enfaldige mördaren,AB Svenska Ord,12-02-82,0,108.0,C
,0,Adventure,en,Enigma,#VALUE!,28-01-83,0,122.0,C
,0,Thriller,en,Evil Under the Sun,EMI Films Ltd.,05-03-82,6110000,117.0,C
,18000000,Science Fiction,en,Firefox,Malpaso Productions,13-06-82,70687344,136.0,C
,0,Drama,en,Five Days One Summer,The Ladd Company,12-11-82,0,96.0,C
,0,Action,en,Forced Vengeance,SLM Production Group,30-07-82,6660333,90.0,C
Le Gendarme de St. Tropez Collection,0,Comedy,fr,Le gendarme et les gendarmettes,Société Nouvelle de Cinématographie,03-10-82,0,100.0,C
,0,Western,en,The Grey Fox,Canadian Film Development Corporation (CFDC),16-12-82,0,110.0,B
,0,Drama,en,Hammett,#VALUE!,17-09-82,0,97.0,C
,0,Western,en,Honkytonk Man,Malpaso Productions,15-12-82,0,122.0,C
,0,Science Fiction,en,Human Highway,Shakey Pictures,10-09-82,0,88.0,D
,0,Crime,en,I, the Jury,#VALUE!,22-04-82,0,111.0,C
,0,Drama,en,If You Could See What I Hear,Shelter Films,07-01-82,0,103.0,D
,0,Comedy,en,Jekyll and Hyde ... Together Again,#VALUE!,10-11-82,0,87.0,D
Jönsson Gang,0,Comedy,sv,Jönssonligan & DynamitHarry,Nordisk Film,17-09-82,0,106.0,D
,0,Comedy,en,Kiss Me Goodbye,Twentieth Century Fox Film Corporation,22-12-82,0,101.0,C
,0,Comedy,es,Laberinto de pasiones,#VALUE!,29-09-82,0,100.0,C
,0,Comedy,en,The Last American Virgin,Golan-Globus Productions,26-06-82,0,92.0,C
,0,Fantasy,en,The Last Unicorn,Topcraft,19-11-82,6455530,92.0,C
,0,Science Fiction,en,Liquid Sky,Z Films Inc.,01-08-82,0,112.0,C
,0,Action,cn,Dragon Lord,Lo Wei Motion Picture Company,21-01-82,0,86.0,C
,0,Drama,en,Making Love,#VALUE!,12-02-82,0,113.0,D
,300000,Horror,it,Manhattan Baby,#VALUE!,12-08-82,0,89.0,C
,0,Comedy,sr,Maratonci trče počasni krug,Centar Film,01-01-82,0,92.0,B
,0,Adventure,en,Megaforce,Golden Harvest Company,25-06-82,0,99.0,D
,0,Comedy,en,A Midsummer Night's Sex Comedy,Orion Pictures,16-07-82,0,88.0,C
,0,Drama,en,Missing,Universal Pictures,12-02-82,14000000,122.0,B
,0,Comedy,en,The Missionary,Hand Made Films,02-11-82,7241180,90.0,C
,0,Crime,fr,Monsignor,Frank Yablans Presentations,22-10-82,0,121.0,D
,0,Comedy,en,Monty Python Live at the Hollywood Bowl,Columbia Pictures Corporation,25-06-82,0,77.0,B
,0,Drama,en,Moonlighting,ZDF,18-09-82,0,97.0,B
,0,Adventure,en,Mother Lode,Agamemnon Films,23-09-82,0,101.0,C
,0,War,it,La Notte di San Lorenzo,RAI Radiotelevisione Italiana,16-09-82,0,105.0,C
,0,Drama,fr,La Nuit de Varennes,Gaumont,23-09-82,0,151.0,C
,0,Drama,en,One from the Heart,Zoetrope Studios,12-02-82,0,107.0,C
,0,Comedy,en,Pandemonium,#VALUE!,01-04-82,0,82.0,C
,0,Romance,en,Paradise,AVCO Embassy Pictures,25-03-82,5588800,100.0,C
,0,Comedy,en,Partners,Paramount Pictures,30-04-82,0,93.0,C
,0,Comedy,fr,Passion,#VALUE!,26-05-82,0,87.0,C
,0,Drama,en,Permanent Vacation,Cinesthesia Productions,01-01-80,0,75.0,C
,0,Drama,en,Personal Best,Geffen Company, The,05-02-82,0,124.0,D
,0,Action,en,The Pirate Movie,Joseph Hamilton International Productions,06-08-82,0,98.0,C
,0,Comedy,en,Privates on Parade,#VALUE!,18-03-83,0,97.0,D
,0,Drama,pl,Przypadek,P.P. Film Polski,10-01-87,0,123.0,B
,0,Comedy,fr,Le Père Noël est une ordure,Films A2,25-08-82,0,88.0,B
,0,Drama,en,Q,Arkoff International,29-10-82,0,93.0,C
,0,Drama,en,Querelle,Gaumont,05-08-82,0,108.0,C
,0,Comedy,en,Richard Pryor: Live on the Sunset Strip,Columbia Pictures Corporation, Rastar Pictures,12-03-82,0,82.0,B
,0,Documentary,fr,Sans soleil,Argos Films,15-02-83,30878,100.0,B
,0,Family,en,Savannah Smiles,Embassy Pictures Corporation,01-01-82,0,105.0,C
,0,Comedy,en,The Secret Policeman's Other Ball,#VALUE!,,,,E
The BRD Collection,0,Crime,de,Die Sehnsucht der Veronika Voss,Maran Film,08-02-82,0,104.0,C
,0,Drama,en,Shoot the Moon,SLM Production Group,22-01-82,8100000,124.0,C
,0,Drama,en,Six Pack,Twentieth Century Fox Film Corporation,16-07-82,20225989,108.0,C
,0,Drama,en,Six Weeks,#VALUE!,24-12-82,0,107.0,C
,0,Action,en,The Soldier,#VALUE!,01-06-82,0,96.0,C
,0,Comedy,en,Some Kind of Hero,Paramount Pictures,02-04-82,0,97.0,C
,0,Horror,it,Lo squartatore di New York,Fulvia Film,01-01-82,0,93.0,C
,0,Drama,de,Der Stand der Dinge,Pro-ject Filmproduktion,22-03-82,0,125.0,C
,0,Comedy,en,Starstruck,The Australian Film Commission,08-04-82,0,105.0,B
,10000000,Thriller,en,Still of the Night,United Artists,19-11-82,0,91.0,C
,0,Drama,es,El Sur,Televisión Española (TVE),18-05-83,0,95.0,B
,0,Action,en,Sword of the Valiant: The Legend of Sir Gawain and the Green Knight,Golan-Globus Productions,17-08-84,0,102.0,C
,0,Thriller,en,Tag: The Assassination Game,The Antria Group (TAG),20-04-82,0,90.0,C
,0,Comedy,en,Tempest,Columbia Pictures Corporation,13-08-82,0,140.0,C
,0,Horror,en,Tenebre,Sigma Cinematografica Roma,28-10-82,0,110.0,C
They Call Me Bruce Collection,0,Action,en,They Call Me Bruce?,#VALUE!,10-11-82,16894678,85.0,C
,750000,Horror,en,Time Walker,Wescom Productions,01-11-82,0,83.0,C
The Pink Panther (Original) Collection,0,Comedy,en,Trail of the Pink Panther,United Artists,03-12-82,9056073,96.0,D
,0,Drama,it,La traviata,#VALUE!,07-10-82,0,109.0,C
,0,Horror,en,Venom,Morison Film Group,28-11-81,0,93.0,C
,0,,es,Volver a empezar,#VALUE!,01-03-82,0,87.0,C
,0,Drama,de,Die weisse Rose,#VALUE!,24-09-82,0,123.0,C
,8000000,Horror,en,White Dog,Paramount Pictures,07-07-82,0,90.0,C
,0,Action,en,Who Dares Wins,Richmond Light Horse Productions,26-08-82,0,125.0,C
,0,Comedy,en,Wrong Is Right,Columbia Pictures Corporation,16-04-82,0,117.0,C
,0,Drama,tr,Yol,Cactus Films,01-09-82,0,124.0,B
,0,Fantasy,it,Il mondo di Yor,Les Films du Diamant,19-08-83,0,98.0,D
Zapped Collection,0,Comedy,en,Zapped!,City Films,23-07-82,0,98.0,C
,0,Comedy,en,Deliver Us from Eva,#VALUE!,07-02-03,0,105.0,C
,50000000,Comedy,en,How to Lose a Guy in 10 Days,Paramount Pictures,07-02-03,177371441,116.0,C
Shanghai Noon Collection,50000000,Action,en,Shanghai Knights,Spyglass Entertainment,06-02-03,88323487,115.0,C
,78000000,Fantasy,en,Daredevil,Twentieth Century Fox Film Corporation,14-02-03,179179718,103.0,D
The Jungle Book Collection,20000000,Family,en,The Jungle Book 2,Walt Disney Pictures,07-02-03,135680000,72.0,C
,0,Drama,en,All the Real Girls,Sony Pictures Classics,01-08-03,0,108.0,C
,0,Documentary,en,Amandla! A Revolution in Four-Part Harmony,#VALUE!,21-09-02,405331,103.0,B
,0,Drama,ko,취화선,#VALUE!,,,,E
,3500000,Mystery,en,Gerry,Epsilon Motion Pictures,12-01-02,0,103.0,C
,0,Drama,fr,À la folie... pas du tout,#VALUE!,27-03-02,5126264,92.0,C
,0,Action,en,Lockdown,#VALUE!,15-09-00,0,105.0,C
,0,Romance,en,Ordinary Sinner,#VALUE!,21-10-01,0,91.0,E
Dennis the Menace Collection,35000000,Family,en,Dennis the Menace,Hughes Entertainment,23-06-93,117270765,94.0,C
,0,Comedy,en,Stand-In,United Artists,29-10-37,0,91.0,B
,4520000,Horror,en,10 to Midnight,#VALUE!,,,,E
The Black Stallion Collection,0,Drama,en,The Black Stallion Returns,#VALUE!,25-03-83,9800000,103.0,C
The Black Stallion Collection,2700000,Adventure,en,The Black Stallion,United Artists,17-10-79,37799643,118.0,C
,0,Romance,fr,César et Rosalie,Fildebroc,26-10-72,0,110.0,C
,3500000,Comedy,en,A Countess from Hong Kong,Universal Pictures,05-01-67,2000000,113.0,C
,0,Adventure,en,Into the West,Channel Four Films,23-10-92,0,97.0,C
,0,Action,en,Kinjite: Forbidden Subjects,Golan-Globus,03-02-89,0,97.0,D
,0,Action,en,Messenger of Death,Golan-Globus,16-09-88,0,91.0,C
,0,Action,en,Mr. Majestyk,Mirisch Corporation, The,17-07-74,0,103.0,C
,0,Action,en,Murphy's Law,Golan-Globus,18-04-86,0,100.0,C
,800000,Drama,en,A Patch of Blue,Metro-Goldwyn-Mayer (MGM),10-12-65,6792000,105.0,B
,6000000,Crime,en,A Prayer for the Dying,The Samuel Goldwyn Company,11-09-87,1432687,107.0,C
,0,Action,en,Q & A,TriStar Pictures,27-04-90,0,132.0,C
,1640000,Action,en,The Red Badge of Courage,Metro-Goldwyn-Mayer (MGM),16-03-51,0,69.0,C
,0,Comedy,en,The Thrill of It All,Arwin Productions,17-07-63,0,108.0,C
,0,Comedy,en,Pillow Talk,Arwin Productions,07-10-59,0,102.0,C
,1500000,Drama,en,The Man Who Fell to Earth,British Lion Films,18-03-76,0,138.0,C
,15000000,Action,en,Dark Blue,United Artists,14-12-02,9237470,118.0,C
,56000000,Drama,en,Gods and Generals,Warner Bros. Pictures,21-02-03,12923936,214.0,C
,50000000,Drama,en,The Life of David Gale,Mikona Productions GmbH & Co. KG,21-02-03,38955598,130.0,B
,24000000,Comedy,en,Old School,DreamWorks SKG,21-02-03,87055349,91.0,C
,0,,en,Dischord,#VALUE!,01-08-01,0,102.0,E
,0,Drama,en,The Lawless Heart,#VALUE!,28-06-02,0,100.0,D
,0,Drama,en,The Navigators,#VALUE!,16-11-01,0,96.0,C
